"word","instance","correct"
"treat.v.bnc",24801,TRUE
"activate.v.bnc",1308739,TRUE
"different.a.bnc",44391,TRUE
"ask.v.bnc",6991,TRUE
"talk.v.bnc",81061,TRUE
"eat.v.bnc",31700,TRUE
"plan.n.bnc",59052,TRUE
"bank.n.bnc",69881,FALSE
"disc.n.bnc",221477,TRUE
"activate.v.bnc",709504,TRUE
"talk.v.bnc",42922,TRUE
"argument.n.bnc",135953,TRUE
"arm.n.bnc",71038,TRUE
"appear.v.bnc",44874,TRUE
"atmosphere.n.bnc",187614,TRUE
"disc.n.bnc",245825,TRUE
"disc.n.bnc",89812,TRUE
"difficulty.n.bnc",3816,TRUE
"hot.a.bnc",89123,TRUE
"disc.n.bnc",18297,TRUE
"interest.n.bnc",9343,TRUE
"degree.n.bnc",135731,FALSE
"bank.n.bnc",86435,TRUE
"climb.v.bnc",325798,FALSE
"ask.v.bnc",28003,TRUE
"talk.v.bnc",82487,TRUE
"shelter.n.bnc",851046,TRUE
"climb.v.bnc",297416,FALSE
"miss.v.bnc",34254,TRUE
"expect.v.bnc",22615,FALSE
"lose.v.bnc",2883,FALSE
"provide.v.bnc",28830,TRUE
"arm.n.bnc",78497,TRUE
"add.v.bnc",77346,TRUE
"provide.v.bnc",23984,TRUE
"talk.v.bnc",19578,TRUE
"paper.n.bnc",96165,TRUE
"organization.n.bnc",302846,TRUE
"bank.n.bnc",59146,TRUE
"sort.n.bnc",4996,TRUE
"party.n.bnc",63063,FALSE
"interest.n.bnc",15266,TRUE
"atmosphere.n.bnc",198372,TRUE
"provide.v.bnc",44882,TRUE
"degree.n.bnc",329576,FALSE
"arm.n.bnc",49369,FALSE
"disc.n.bnc",462246,FALSE
"activate.v.bnc",1768110,FALSE
"interest.n.bnc",79716,FALSE
"mean.v.bnc",15608,TRUE
"sort.n.bnc",68742,FALSE
"rule.v.bnc",112933,TRUE
"arm.n.bnc",41621,FALSE
"talk.v.bnc",28370,TRUE
"difference.n.bnc",7886,TRUE
"climb.v.bnc",154840,FALSE
"encounter.v.bnc",122439,FALSE
"activate.v.bnc",1279048,FALSE
"party.n.bnc",76242,TRUE
"atmosphere.n.bnc",57382,TRUE
"remain.v.bnc",12758,TRUE
"sort.n.bnc",39766,TRUE
"sort.n.bnc",43617,TRUE
"atmosphere.n.bnc",145106,TRUE
"image.n.bnc",34782,TRUE
"audience.n.bnc",136181,TRUE
"eat.v.bnc",25038,TRUE
"performance.n.bnc",15906,TRUE
"audience.n.bnc",56714,TRUE
"appear.v.bnc",15691,TRUE
"expect.v.bnc",29863,TRUE
"produce.v.bnc",53412,TRUE
"audience.n.bnc",56736,TRUE
"sort.n.bnc",65517,TRUE
"atmosphere.n.bnc",91034,TRUE
"smell.v.bnc",316236,TRUE
"begin.v.bnc",19778,FALSE
"paper.n.bnc",65097,TRUE
"interest.n.bnc",22786,TRUE
"mean.v.bnc",10538,FALSE
"suspend.v.bnc",226896,TRUE
"suspend.v.bnc",247649,TRUE
"difference.n.bnc",4141,TRUE
"plan.n.bnc",72419,TRUE
"appear.v.bnc",38560,TRUE
"arm.n.bnc",36922,TRUE
"arm.n.bnc",122695,FALSE
"audience.n.bnc",56234,FALSE
"arm.n.bnc",34847,TRUE
"treat.v.bnc",62543,TRUE
"party.n.bnc",8109,TRUE
"lose.v.bnc",13338,TRUE
"party.n.bnc",81625,TRUE
"degree.n.bnc",118314,FALSE
"party.n.bnc",72795,TRUE
"arm.n.bnc",87285,FALSE
"treat.v.bnc",32809,TRUE
"arm.n.bnc",88727,FALSE
"organization.n.bnc",128926,TRUE
"eat.v.bnc",145647,FALSE
"ask.v.bnc",4349,FALSE
"disc.n.bnc",140042,FALSE
"disc.n.bnc",464755,TRUE
"different.a.bnc",82,TRUE
"add.v.bnc",13309,TRUE
"party.n.bnc",47973,TRUE
"party.n.bnc",83389,TRUE
"eat.v.bnc",129271,TRUE
"decide.v.bnc",913,FALSE
"atmosphere.n.bnc",21839,TRUE
"provide.v.bnc",29149,FALSE
"different.a.bnc",2462,TRUE
"operate.v.bnc",45026,TRUE
"difference.n.bnc",69274,FALSE
"suspend.v.bnc",111501,TRUE
"add.v.bnc",134,TRUE
"difference.n.bnc",43790,TRUE
"talk.v.bnc",28349,TRUE
"shelter.n.bnc",643709,TRUE
"provide.v.bnc",22679,TRUE
"arm.n.bnc",46195,FALSE
"arm.n.bnc",87285,FALSE
"sort.n.bnc",22060,TRUE
"ask.v.bnc",37332,TRUE
"expect.v.bnc",6122,FALSE
"paper.n.bnc",47333,TRUE
"express.v.bnc",103361,TRUE
"image.n.bnc",120513,TRUE
"rule.v.bnc",98108,TRUE
"add.v.bnc",79536,TRUE
"judgment.n.bnc",247798,FALSE
"eat.v.bnc",36810,TRUE
"party.n.bnc",9174,TRUE
"miss.v.bnc",45559,FALSE
"degree.n.bnc",83661,TRUE
"audience.n.bnc",105176,TRUE
"add.v.bnc",14153,FALSE
"provide.v.bnc",417,TRUE
"paper.n.bnc",549,TRUE
"atmosphere.n.bnc",57632,FALSE
"mean.v.bnc",12635,TRUE
"judgment.n.bnc",487507,FALSE
"degree.n.bnc",92762,FALSE
"begin.v.bnc",39788,FALSE
"difference.n.bnc",122864,TRUE
"bank.n.bnc",85520,TRUE
"decide.v.bnc",52066,FALSE
"rule.v.bnc",229421,TRUE
"note.v.bnc",136898,TRUE
"miss.v.bnc",99948,TRUE
"win.v.bnc",34800,TRUE
"organization.n.bnc",164007,TRUE
"appear.v.bnc",1526,FALSE
"atmosphere.n.bnc",138490,TRUE
"difference.n.bnc",75755,TRUE
"expect.v.bnc",36900,TRUE
"hot.a.bnc",23225,TRUE
"ask.v.bnc",2236,TRUE
"appear.v.bnc",28076,FALSE
"express.v.bnc",214003,FALSE
"write.v.bnc",3132,TRUE
"different.a.bnc",24425,TRUE
"shelter.n.bnc",24873,TRUE
"disc.n.bnc",895636,TRUE
"eat.v.bnc",23165,FALSE
"difference.n.bnc",44025,FALSE
"organization.n.bnc",375564,FALSE
"appear.v.bnc",17088,TRUE
"express.v.bnc",205484,TRUE
"produce.v.bnc",14678,TRUE
"paper.n.bnc",39178,FALSE
"begin.v.bnc",37960,TRUE
"watch.v.bnc",48208,TRUE
"activate.v.bnc",2010632,TRUE
"audience.n.bnc",100474,TRUE
"sort.n.bnc",65517,FALSE
"sort.n.bnc",5436,FALSE
"hear.v.bnc",9488,TRUE
"disc.n.bnc",542415,TRUE
"degree.n.bnc",9284,FALSE
"expect.v.bnc",3953,FALSE
"interest.n.bnc",69357,FALSE
"sort.n.bnc",83060,TRUE
"sort.n.bnc",71758,TRUE
"solid.a.bnc",38038,TRUE
"argument.n.bnc",86644,TRUE
"note.v.bnc",163645,FALSE
"shelter.n.bnc",720923,FALSE
"begin.v.bnc",44339,TRUE
"paper.n.bnc",39772,FALSE
"begin.v.bnc",38777,TRUE
"argument.n.bnc",136018,FALSE
"lose.v.bnc",6805,TRUE
"eat.v.bnc",165823,FALSE
"mean.v.bnc",4957,TRUE
"begin.v.bnc",554,TRUE
"play.v.bnc",46181,FALSE
"produce.v.bnc",35316,TRUE
"encounter.v.bnc",554877,FALSE
"note.v.bnc",202719,TRUE
"eat.v.bnc",145940,FALSE
"shelter.n.bnc",361086,FALSE
"ask.v.bnc",18603,TRUE
"begin.v.bnc",18630,TRUE
"provide.v.bnc",2452,TRUE
"add.v.bnc",14566,FALSE
"begin.v.bnc",14865,TRUE
"activate.v.bnc",1767619,TRUE
"climb.v.bnc",179746,TRUE
"begin.v.bnc",9372,FALSE
"suspend.v.bnc",230267,TRUE
"express.v.bnc",130486,TRUE
"argument.n.bnc",147261,TRUE
"arm.n.bnc",57262,FALSE
"note.v.bnc",81177,TRUE
"begin.v.bnc",29736,TRUE
"audience.n.bnc",102940,TRUE
"provide.v.bnc",126,FALSE
"add.v.bnc",10914,TRUE
"atmosphere.n.bnc",13097,TRUE
"appear.v.bnc",13102,TRUE
"shelter.n.bnc",788307,TRUE
"note.v.bnc",96040,TRUE
"argument.n.bnc",71915,TRUE
"note.v.bnc",84812,TRUE
"performance.n.bnc",39072,TRUE
"degree.n.bnc",172760,TRUE
"activate.v.bnc",1899834,TRUE
"add.v.bnc",81819,TRUE
"write.v.bnc",1527,TRUE
"expect.v.bnc",74665,TRUE
"performance.n.bnc",67556,TRUE
"disc.n.bnc",600626,TRUE
"climb.v.bnc",287243,TRUE
"bank.n.bnc",53571,TRUE
"hear.v.bnc",19260,TRUE
"image.n.bnc",29960,TRUE
"note.v.bnc",116319,FALSE
"degree.n.bnc",223697,TRUE
"argument.n.bnc",151092,TRUE
"sort.n.bnc",3701,TRUE
"talk.v.bnc",91052,FALSE
"plan.n.bnc",62419,TRUE
"degree.n.bnc",9427,TRUE
"activate.v.bnc",617926,FALSE
"provide.v.bnc",43548,TRUE
"atmosphere.n.bnc",225207,FALSE
"paper.n.bnc",89619,TRUE
"plan.n.bnc",80092,TRUE
"plan.n.bnc",80022,FALSE
"arm.n.bnc",17076,TRUE
"watch.v.bnc",74506,TRUE
"produce.v.bnc",56290,FALSE
"arm.n.bnc",65391,TRUE
"important.a.bnc",5666,FALSE
"ask.v.bnc",13584,TRUE
"plan.n.bnc",61859,TRUE
"paper.n.bnc",30306,TRUE
"eat.v.bnc",80653,TRUE
"bank.n.bnc",23510,TRUE
"degree.n.bnc",202576,FALSE
"begin.v.bnc",30637,TRUE
"express.v.bnc",38789,TRUE
"shelter.n.bnc",770496,TRUE
"party.n.bnc",74238,FALSE
"sort.n.bnc",6920,TRUE
"appear.v.bnc",66483,FALSE
"sort.n.bnc",45183,FALSE
"degree.n.bnc",301149,FALSE
"important.a.bnc",5893,TRUE
"party.n.bnc",83394,FALSE
"ask.v.bnc",2773,TRUE
"ask.v.bnc",18094,TRUE
"party.n.bnc",77764,TRUE
"ask.v.bnc",25498,FALSE
"add.v.bnc",60947,TRUE
"begin.v.bnc",9593,FALSE
"interest.n.bnc",9341,FALSE
"add.v.bnc",62238,TRUE
"encounter.v.bnc",167540,TRUE
"difference.n.bnc",107579,TRUE
"rule.v.bnc",102678,FALSE
"important.a.bnc",28790,TRUE
"watch.v.bnc",56834,TRUE
"begin.v.bnc",24324,TRUE
"arm.n.bnc",56806,TRUE
"difficulty.n.bnc",3167,TRUE
"add.v.bnc",13721,FALSE
"image.n.bnc",3847,TRUE
"difference.n.bnc",75145,TRUE
"sort.n.bnc",16630,TRUE
"degree.n.bnc",141342,TRUE
"play.v.bnc",7405,TRUE
"activate.v.bnc",1206797,FALSE
"simple.a.bnc",16381,TRUE
"audience.n.bnc",103387,TRUE
"expect.v.bnc",28767,TRUE
"audience.n.bnc",68434,FALSE
"arm.n.bnc",37180,FALSE
"arm.n.bnc",32360,TRUE
"shelter.n.bnc",399929,TRUE
"begin.v.bnc",34915,TRUE
"degree.n.bnc",29602,TRUE
"plan.n.bnc",75592,TRUE
"paper.n.bnc",59941,FALSE
"party.n.bnc",39241,TRUE
"interest.n.bnc",571,TRUE
"arm.n.bnc",70984,TRUE
"interest.n.bnc",90901,TRUE
"party.n.bnc",8329,FALSE
"paper.n.bnc",37126,TRUE
"disc.n.bnc",895325,TRUE
"paper.n.bnc",68834,TRUE
"image.n.bnc",2992,FALSE
"argument.n.bnc",9507,FALSE
"shelter.n.bnc",271967,TRUE
"climb.v.bnc",59427,TRUE
"suspend.v.bnc",376703,TRUE
"mean.v.bnc",4400,TRUE
"provide.v.bnc",10874,FALSE
"activate.v.bnc",251499,TRUE
"begin.v.bnc",42129,TRUE
"talk.v.bnc",90107,TRUE
"atmosphere.n.bnc",19843,FALSE
"bank.n.bnc",116433,TRUE
"appear.v.bnc",65257,TRUE
"arm.n.bnc",64589,TRUE
"note.v.bnc",17930,TRUE
"talk.v.bnc",28020,FALSE
"arm.n.bnc",56571,TRUE
"audience.n.bnc",56207,FALSE
"shelter.n.bnc",399979,TRUE
"hear.v.bnc",4250,FALSE
"note.v.bnc",91998,TRUE
"play.v.bnc",47784,TRUE
"hear.v.bnc",400,TRUE
"interest.n.bnc",24209,TRUE
"activate.v.bnc",307829,TRUE
"degree.n.bnc",162546,TRUE
"suspend.v.bnc",432279,TRUE
"argument.n.bnc",106859,TRUE
"climb.v.bnc",59514,TRUE
"hot.a.bnc",16252,TRUE
"lose.v.bnc",64470,FALSE
"receive.v.bnc",53311,TRUE
"remain.v.bnc",9849,FALSE
"performance.n.bnc",57460,FALSE
"expect.v.bnc",62239,TRUE
"argument.n.bnc",60153,FALSE
"organization.n.bnc",259057,TRUE
"express.v.bnc",65314,FALSE
"difference.n.bnc",119175,TRUE
"difference.n.bnc",122868,FALSE
"important.a.bnc",1301,FALSE
"party.n.bnc",65310,FALSE
"remain.v.bnc",29679,FALSE
"wash.v.bnc",76622,TRUE
"remain.v.bnc",9832,FALSE
"ask.v.bnc",2174,FALSE
"express.v.bnc",96212,TRUE
"begin.v.bnc",36328,FALSE
"suspend.v.bnc",105857,FALSE
"simple.a.bnc",29079,TRUE
"bank.n.bnc",26907,TRUE
"shelter.n.bnc",24873,TRUE
"provide.v.bnc",13256,TRUE
"interest.n.bnc",4619,TRUE
"paper.n.bnc",2087,FALSE
"mean.v.bnc",5574,TRUE
"smell.v.bnc",621073,FALSE
"ask.v.bnc",37377,TRUE
"judgment.n.bnc",243041,TRUE
"plan.n.bnc",84262,TRUE
"express.v.bnc",2513,FALSE
"arm.n.bnc",49153,FALSE
"lose.v.bnc",34569,TRUE
"express.v.bnc",150615,TRUE
"image.n.bnc",98928,TRUE
"plan.n.bnc",58259,FALSE
"rule.v.bnc",214252,FALSE
"remain.v.bnc",47552,FALSE
"argument.n.bnc",55558,TRUE
"wash.v.bnc",323901,FALSE
"atmosphere.n.bnc",232626,TRUE
"degree.n.bnc",187322,FALSE
"talk.v.bnc",85521,TRUE
"eat.v.bnc",145653,TRUE
"produce.v.bnc",66842,TRUE
"hot.a.bnc",74624,TRUE
"difference.n.bnc",96763,FALSE
"audience.n.bnc",78962,FALSE
"disc.n.bnc",216894,TRUE
"difference.n.bnc",74225,TRUE
"smell.v.bnc",627244,FALSE
"encounter.v.bnc",462512,TRUE
"expect.v.bnc",72426,TRUE
"rule.v.bnc",94257,TRUE
"audience.n.bnc",129792,TRUE
"write.v.bnc",1555,TRUE
"eat.v.bnc",164899,FALSE
"hot.a.bnc",25202,TRUE
"receive.v.bnc",46614,TRUE
"activate.v.bnc",1064435,TRUE
"arm.n.bnc",49507,FALSE
"paper.n.bnc",39772,TRUE
"activate.v.bnc",953632,TRUE
"ask.v.bnc",7238,TRUE
"add.v.bnc",67172,FALSE
"decide.v.bnc",41483,TRUE
"atmosphere.n.bnc",106555,TRUE
"appear.v.bnc",17994,TRUE
"atmosphere.n.bnc",56978,TRUE
"difference.n.bnc",3274,TRUE
"degree.n.bnc",187729,TRUE
"sort.n.bnc",17610,FALSE
"bank.n.bnc",97926,TRUE
"hear.v.bnc",35881,FALSE
"expect.v.bnc",64260,TRUE
"degree.n.bnc",329576,FALSE
"produce.v.bnc",5731,TRUE
"atmosphere.n.bnc",109157,TRUE
"paper.n.bnc",29383,FALSE
"ask.v.bnc",22883,FALSE
"sort.n.bnc",3384,FALSE
"party.n.bnc",81206,FALSE
"write.v.bnc",1748,TRUE
"appear.v.bnc",55336,FALSE
"organization.n.bnc",259072,TRUE
"interest.n.bnc",62254,FALSE
"solid.a.bnc",37337,TRUE
"watch.v.bnc",98795,TRUE
"difference.n.bnc",47677,TRUE
"degree.n.bnc",217473,FALSE
"ask.v.bnc",28617,TRUE
"begin.v.bnc",9573,TRUE
"write.v.bnc",165,FALSE
"argument.n.bnc",25282,TRUE
"add.v.bnc",23809,TRUE
"encounter.v.bnc",646161,TRUE
"simple.a.bnc",4030,TRUE
"atmosphere.n.bnc",81337,TRUE
"performance.n.bnc",7683,FALSE
"activate.v.bnc",1450597,TRUE
"decide.v.bnc",39922,TRUE
"add.v.bnc",60898,TRUE
"bank.n.bnc",78203,FALSE
"play.v.bnc",3609,TRUE
"encounter.v.bnc",280127,FALSE
"wash.v.bnc",183052,TRUE
"climb.v.bnc",289242,FALSE
"activate.v.bnc",618998,FALSE
"image.n.bnc",92387,TRUE
"expect.v.bnc",5881,FALSE
"win.v.bnc",8267,TRUE
"activate.v.bnc",442716,TRUE
"note.v.bnc",126699,FALSE
"audience.n.bnc",55790,TRUE
"climb.v.bnc",93976,FALSE
"decide.v.bnc",45115,TRUE
"paper.n.bnc",9598,FALSE
"ask.v.bnc",28483,TRUE
"ask.v.bnc",14150,TRUE
"plan.n.bnc",64461,FALSE
"express.v.bnc",152832,TRUE
"plan.n.bnc",23504,TRUE
"audience.n.bnc",119963,FALSE
"performance.n.bnc",44684,TRUE
"appear.v.bnc",67384,TRUE
"climb.v.bnc",185969,TRUE
"operate.v.bnc",9140,FALSE
"expect.v.bnc",65869,FALSE
"image.n.bnc",39354,TRUE
"degree.n.bnc",69656,TRUE
"watch.v.bnc",33164,TRUE
"bank.n.bnc",177540,TRUE
"different.a.bnc",34554,TRUE
"receive.v.bnc",1657,TRUE
"argument.n.bnc",70360,TRUE
"source.n.bnc",3133,TRUE
"disc.n.bnc",216897,TRUE
"plan.n.bnc",54680,TRUE
"party.n.bnc",9108,FALSE
"decide.v.bnc",63765,FALSE
"audience.n.bnc",114789,FALSE
"performance.n.bnc",6962,FALSE
"produce.v.bnc",57721,TRUE
"sort.n.bnc",44741,TRUE
"degree.n.bnc",126692,TRUE
"different.a.bnc",4701,TRUE
"difficulty.n.bnc",47866,FALSE
"smell.v.bnc",39739,FALSE
"performance.n.bnc",68086,TRUE
"sort.n.bnc",28466,TRUE
"argument.n.bnc",123047,TRUE
"add.v.bnc",83170,TRUE
"sort.n.bnc",3830,TRUE
"arm.n.bnc",34113,TRUE
"disc.n.bnc",895293,TRUE
"treat.v.bnc",43783,TRUE
"talk.v.bnc",74046,FALSE
"interest.n.bnc",31776,TRUE
"image.n.bnc",66813,FALSE
"difference.n.bnc",29079,TRUE
"encounter.v.bnc",572672,TRUE
"treat.v.bnc",86293,TRUE
"party.n.bnc",74191,TRUE
"degree.n.bnc",66213,TRUE
"mean.v.bnc",16373,TRUE
"expect.v.bnc",67401,FALSE
"activate.v.bnc",931302,FALSE
"degree.n.bnc",29737,FALSE
"receive.v.bnc",52954,FALSE
"plan.n.bnc",85559,TRUE
"audience.n.bnc",136110,TRUE
"climb.v.bnc",60001,TRUE
"appear.v.bnc",24353,TRUE
"begin.v.bnc",24168,TRUE
"sort.n.bnc",64730,FALSE
"ask.v.bnc",22343,TRUE
"begin.v.bnc",18630,TRUE
"play.v.bnc",241,FALSE
"sort.n.bnc",79983,TRUE
"mean.v.bnc",1167,FALSE
"mean.v.bnc",20443,TRUE
"climb.v.bnc",60522,TRUE
"bank.n.bnc",13595,TRUE
"difference.n.bnc",123626,FALSE
"difference.n.bnc",126680,TRUE
"interest.n.bnc",64711,FALSE
"rule.v.bnc",205910,TRUE
"decide.v.bnc",34214,TRUE
"appear.v.bnc",60741,TRUE
"different.a.bnc",14140,FALSE
"express.v.bnc",54044,FALSE
"express.v.bnc",95618,TRUE
"degree.n.bnc",90260,TRUE
"begin.v.bnc",6984,FALSE
"provide.v.bnc",1104,TRUE
"eat.v.bnc",80823,TRUE
"activate.v.bnc",795259,TRUE
"remain.v.bnc",29592,FALSE
"disc.n.bnc",359476,TRUE
"smell.v.bnc",143745,TRUE
"ask.v.bnc",36090,TRUE
"smell.v.bnc",29806,TRUE
"appear.v.bnc",57338,TRUE
"difference.n.bnc",19055,TRUE
"climb.v.bnc",255849,TRUE
"mean.v.bnc",9666,TRUE
"talk.v.bnc",46856,TRUE
"degree.n.bnc",13516,FALSE
"ask.v.bnc",19378,TRUE
"judgment.n.bnc",236480,TRUE
"smell.v.bnc",375141,TRUE
"expect.v.bnc",16765,TRUE
"smell.v.bnc",195543,FALSE
"mean.v.bnc",5030,TRUE
"degree.n.bnc",141342,FALSE
"difference.n.bnc",123282,TRUE
"expect.v.bnc",63981,TRUE
"climb.v.bnc",15371,FALSE
"interest.n.bnc",5534,FALSE
"add.v.bnc",74923,TRUE
"paper.n.bnc",47048,TRUE
"solid.a.bnc",66053,FALSE
"appear.v.bnc",4792,TRUE
"expect.v.bnc",22236,TRUE
"atmosphere.n.bnc",128464,TRUE
"solid.a.bnc",87546,FALSE
"activate.v.bnc",50507,TRUE
"difference.n.bnc",65192,TRUE
"talk.v.bnc",28184,TRUE
"expect.v.bnc",9136,TRUE
"lose.v.bnc",75367,TRUE
"audience.n.bnc",79356,FALSE
"atmosphere.n.bnc",146289,FALSE
"difference.n.bnc",14479,FALSE
"plan.n.bnc",13449,FALSE
"difference.n.bnc",69268,TRUE
"plan.n.bnc",72429,FALSE
"arm.n.bnc",57610,FALSE
"atmosphere.n.bnc",74324,FALSE
"produce.v.bnc",12783,TRUE
"degree.n.bnc",79082,FALSE
"mean.v.bnc",4544,TRUE
"play.v.bnc",5190,TRUE
"play.v.bnc",1959,TRUE
"ask.v.bnc",16857,TRUE
"note.v.bnc",145428,TRUE
"interest.n.bnc",13263,FALSE
"interest.n.bnc",9356,TRUE
"bank.n.bnc",178159,FALSE
"suspend.v.bnc",100058,TRUE
"argument.n.bnc",68379,TRUE
"produce.v.bnc",30190,TRUE
"interest.n.bnc",571,TRUE
"difference.n.bnc",98001,TRUE
"degree.n.bnc",4753,TRUE
"express.v.bnc",188886,TRUE
"arm.n.bnc",56657,TRUE
"bank.n.bnc",28913,TRUE
"simple.a.bnc",16381,TRUE
"smell.v.bnc",628175,TRUE
"image.n.bnc",99660,TRUE
"bank.n.bnc",118888,TRUE
"add.v.bnc",38608,TRUE
"receive.v.bnc",52474,TRUE
"source.n.bnc",14477,FALSE
"plan.n.bnc",37621,TRUE
"interest.n.bnc",4121,FALSE
"atmosphere.n.bnc",249238,TRUE
"provide.v.bnc",8760,TRUE
"eat.v.bnc",153829,TRUE
"eat.v.bnc",1801,TRUE
"party.n.bnc",73385,TRUE
"note.v.bnc",134528,FALSE
"ask.v.bnc",36847,TRUE
"degree.n.bnc",180326,TRUE
"activate.v.bnc",2015487,TRUE
"shelter.n.bnc",726985,TRUE
"produce.v.bnc",50175,FALSE
"disc.n.bnc",895552,TRUE
"sort.n.bnc",44874,TRUE
"bank.n.bnc",106739,TRUE
"atmosphere.n.bnc",21839,TRUE
"degree.n.bnc",107237,TRUE
"performance.n.bnc",26144,FALSE
"party.n.bnc",74210,TRUE
"argument.n.bnc",16270,TRUE
