"id","classifier","bootstrapping","colocation","cooccurrence","unstemmed","dependencyParsing","featureX","featureY","featureZ"
1,"MEMM",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
2,"MEMM",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
3,"MEMM",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
4,"MEMM",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5,"MEMM",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
6,"MEMM",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
7,"MEMM",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
8,"MEMM",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,"MEMM",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
10,"MEMM",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
11,"MEMM",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
12,"MEMM",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
13,"MEMM",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
14,"MEMM",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
15,"MEMM",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
16,"MEMM",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17,"MEMM",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
18,"MEMM",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
19,"MEMM",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
20,"MEMM",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
21,"MEMM",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
22,"MEMM",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
23,"MEMM",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
24,"MEMM",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
25,"MEMM",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
26,"MEMM",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
27,"MEMM",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
28,"MEMM",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
29,"MEMM",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
30,"MEMM",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
31,"MEMM",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
32,"MEMM",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33,"Naïve Bayes",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
34,"Naïve Bayes",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
35,"Naïve Bayes",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
36,"Naïve Bayes",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
37,"Naïve Bayes",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
38,"Naïve Bayes",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
39,"Naïve Bayes",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
40,"Naïve Bayes",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41,"Naïve Bayes",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
42,"Naïve Bayes",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
43,"Naïve Bayes",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
44,"Naïve Bayes",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
45,"Naïve Bayes",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
46,"Naïve Bayes",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
47,"Naïve Bayes",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
48,"Naïve Bayes",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
49,"Naïve Bayes",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
50,"Naïve Bayes",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
51,"Naïve Bayes",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
52,"Naïve Bayes",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
53,"Naïve Bayes",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
54,"Naïve Bayes",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
55,"Naïve Bayes",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
56,"Naïve Bayes",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
57,"Naïve Bayes",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
58,"Naïve Bayes",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
59,"Naïve Bayes",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
60,"Naïve Bayes",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
61,"Naïve Bayes",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
62,"Naïve Bayes",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
63,"Naïve Bayes",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
64,"Naïve Bayes",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
65,"Decision tree",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
66,"Decision tree",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
67,"Decision tree",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
68,"Decision tree",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
69,"Decision tree",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
70,"Decision tree",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
71,"Decision tree",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
72,"Decision tree",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
73,"Decision tree",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
74,"Decision tree",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
75,"Decision tree",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
76,"Decision tree",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
77,"Decision tree",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
78,"Decision tree",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
79,"Decision tree",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
80,"Decision tree",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
